site	iso	instance_id	instance_name	instance_abbr	source_url	edition_id	work_id	num_books	num_chapters	num_verses	num_words	text_included
bibles.org	eng	1fd99b0d5841e19b-03	New Revised Standard Version Old Tradition		https://api.bible/bibles/1fd99b0d5841e19b-03	new-revised-standard-version-1989-old-tradition	new-revised-standard-version	27	260	7941	176110	false
bibles.org	eng	4eede3e748e0a2c3-01	New Revised Standard Version with Extended Apocrypha (Anglicised) 1989		https://api.bible/bibles/4eede3e748e0a2c3-01	new-revised-standard-version-1989-anglicised	new-revised-standard-version	27	260	7941	176144	false
bibles.org	eng	4b64f7d0cdec0e42-01	Revised Standard Version		https://api.bible/bibles/4b64f7d0cdec0e42-01	revised-standard-version-1971	revised-standard-version	27	260	7935	173269	false
bibles.org	eng	4b64f7d0cdec0e42-02	Revised Standard Version		https://api.bible/bibles/4b64f7d0cdec0e42-02	revised-standard-version-1971	revised-standard-version	27	260	7935	173269	false
bibles.org	eng	4b64f7d0cdec0e42-03	Revised Standard Version Old Tradition 1952		https://api.bible/bibles/4b64f7d0cdec0e42-03	revised-standard-version-1946-old-tradition	revised-standard-version	27	260	7935	173269	false
bibles.org	eng	0a8314e257586058-01	Revised Standard Version UK 1977		https://api.bible/bibles/0a8314e257586058-01	revised-standard-version-1977-uk	revised-standard-version	27	260	7935	173521	false
bibles.org	eng	40072c4a5aba4022-01	Revised Version 1885		https://api.bible/bibles/40072c4a5aba4022-01	english-revised-version-1885	english-revised-version	27	260	7941	179867	true
bibles.org	eng	9bb76cd3e5a7f9b4-01	Revised Version with Apocrypha 1885, 1895		https://api.bible/bibles/9bb76cd3e5a7f9b4-01	english-revised-version-1885	english-revised-version	27	260	7941	179868	true
bibles.org	eng	2f0fd81d7b85b923-01	The English New Testament According to Family 35		https://api.bible/bibles/2f0fd81d7b85b923-01	family-35-nt-2016	family-35-nt	10	162	5884	129550	true
bibles.org	eng	a9fc3d9729b6a6a0-01	The Gospel of St Matthew 1-22 (William Tyndale) Cologne Fragment - Modern Spelling		https://api.bible/bibles/a9fc3d9729b6a6a0-01	tyndale-bible-2025-cologne-fragment-modern-spelling	tyndale-bible	1	22	740	16645	true
bibles.org	eng	06125adad2d5898a-01	The Holy Bible, American Standard Version		https://api.bible/bibles/06125adad2d5898a-01	american-standard-version-1901	american-standard-version	27	260	7932	179258	true
bibles.org	eng	92df985750968ce9-01	The New Testament 1526 (William Tyndale) Worms Edition		https://api.bible/bibles/92df985750968ce9-01	tyndale-bible-1526-worms	tyndale-bible	27	260	7946	181773	true
bibles.org	eng	c89622d31b60c444-02	The Orthodox Jewish Bible		https://api.bible/bibles/c89622d31b60c444-02	orthodox-jewish-bible-2011	orthodox-jewish-bible	27	260	7959	208836	true
bibles.org	eng	32339cf2f720ff8e-01	The Text-Critical English New Testament		https://api.bible/bibles/32339cf2f720ff8e-01	text-critical-english-nt-2022	text-critical-english-nt	27	260	7953	181547	true
bibles.org	eng	b5674f77348ad856-01	The Translator's Translation:  New Testament 1973		https://api.bible/bibles/b5674f77348ad856-01	translator-translation-1973	translator-translation	27	260	7924	180290	false
bibles.org	eng	4524cdb7a7098420-01	The Trench Epistles GWC 1915		https://api.bible/bibles/4524cdb7a7098420-01	trench-epistles-gwc-1915	trench-epistles-gwc	3	33	630	24689	true
bibles.org	eng	9c907df84d849b86-01	The newe Testament 1534 (William Tyndale) Antwerp Revised Edition - original spelling		https://api.bible/bibles/9c907df84d849b86-01	tyndale-bible-1534-antwerp-original-spelling	tyndale-bible	27	260	7954	182215	true
bibles.org	eng	66c22495370cdfc0-01	Translation for Translators		https://api.bible/bibles/66c22495370cdfc0-01	translation-for-translators-2017	translation-for-translators	27	260	7851	313110	true
