edition_id	display_name	publication_year	copyright_status	copyright_statement	copyright_statement_source_url	license	rights_holder
slowo-zycia-2016	2016	2016	open_license	copyright © 1991, 2005, 2016 Biblica, Inc. This work is made available under the Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA).	https://ebible.org/find/show.php?id=polSZ	CC-BY-SA-4.0	Biblica, Inc.
smiths-literal-translation-1876	1876	1876	public_domain
soloweyczyk-1879	1879	1879	public_domain
spa-jerusalem-bible-1976	1976	1976	copyrighted
spa-jerusalem-bible-2001	2001	2001	copyrighted
spa-new-world-translation-2025	2025	2025	copyrighted
spanish-free-bible-for-the-world-2022	2022	2022	public_domain
st-paul-from-the-trenches-1916	1916	1916	copyrighted
szczepanski-1917	1917	1917	public_domain
szymon-budny-1574	1574	1574	public_domain
text-critical-english-nt-2022	2022	2022	open_license	Copyright © 2022 Robert Adam Boyd. This translation is made available to you under the terms of the Creative Commons Attribution license 4.0.	https://ebible.org/find/show.php?id=engTCENT	CC-BY-4.0	Robert Adam Boyd
the-books-of-the-bible-2011	2011	2011	copyrighted
the-message-bible-1993	1993	1993	copyrighted
the-message-bible-1993-1st-edition	1993 1st edition	1993	copyrighted
the-message-bible-2018	2018	2018	copyrighted
the-passion-translation-2020	2020	2020	copyrighted
the-scriptures-1998	1998	1998	copyrighted
the-scriptures-2009	2009	2009	copyrighted
the-voice-bible-2011	2011	2011	copyrighted
third-millennium-bible-1998	1998	1998	copyrighted
tintori-1931	1931	1931	copyrighted
traduccion-contemporanea-de-la-biblia-2022	2022	2022	copyrighted
translation-for-translators-2017	2017	2017	open_license	Copyright © 2008-2017 Ellis W. Deibler, Jr. This translation is made available to you under the terms of the Creative Commons Attribution Share-Alike license 4.0.	https://ebible.org/find/show.php?id=engT4T	CC-BY-SA-4.0	Ellis W. Deibler, Jr.
translator-translation-1973	1973	1973	copyrighted
tree-of-life-version-2014	2014	2014	copyrighted
trench-epistles-gwc-1915	1915	1915	public_domain
tyndale-bible-1525-cologne-fragment	1525 cologne fragment	1525	public_domain
tyndale-bible-1526-worms	1526 worms	1526	public_domain
tyndale-bible-1534-antwerp	1534 antwerp	1534	public_domain
tyndale-bible-1534-antwerp-original-spelling	1534 antwerp original spelling	1534	public_domain
tyndale-bible-2025-cologne-fragment-modern-spelling	2025 cologne fragment modern spelling	2025	public_domain
